"","ENSG00000018625.15","ENSG00000034971.17","ENSG00000077157.22","ENSG00000077616.11","ENSG00000104415.14","ENSG00000123500.10","ENSG00000133800.9","ENSG00000145321.13","ENSG00000162494.6","ENSG00000163815.6","ENSG00000167434.10","ENSG00000171819.5","ENSG00000182492.16","ENSG00000185271.9","ENSG00000198848.13","ENSG00000226005.5","ENSG00000228162.1","ENSG00000228222.1","ENSG00000228868.3","ENSG00000229558.2","ENSG00000234648.1","ENSG00000244734.4","ENSG00000250572.1","ENSG00000251325.1","ENSG00000257766.1","ENSG00000260102.2","ENSG00000263709.1","ENSG00000266964.6","ENSG00000267603.1","ENSG00000277954.1","ENSG00000282840.1","ENSG00000286523.1","ENSG00000287666.1","group"
"TCGA-AR-A256-01A-11R-A169-07",4.61014691420817,4.03750961196889,12.386569626605,5.58459004724068,8.55899738730961,11.7027417173034,6.75300915102311,3.3071450089029,3.3071450089029,5.73813410957475,4.32957101881135,4.54719835217393,14.0588437526845,3.73180389272158,6.27177560645325,3.73180389272158,4.14759726674701,3.73180389272158,4.03750961196889,3.90557434699943,6.76461364837518,9.17403470357188,3.3071450089029,3.73180389272158,3.3071450089029,3.3071450089029,3.3071450089029,3.3071450089029,3.73180389272158,4.66948511220362,4.32957101881135,3.73180389272158,3.3071450089029,"Tumor"
"TCGA-A7-A426-01A-22R-A24H-07",9.13782035980665,4.34465922122368,11.5860162311488,7.40517690397894,10.1630483405727,11.2046990537966,6.67709884660205,3.8342171942706,3.95091553145654,8.29789474377142,5.44620870273586,5.84550550340624,15.7004516137175,6.29765184623759,9.63750331636436,5.75628212540821,5.10042041742171,3.3071450089029,3.68087163713,4.28015341368448,6.33450257014863,10.9248681669101,3.68087163713,3.3071450089029,3.3071450089029,3.68087163713,3.68087163713,4.34465922122368,4.78667813776587,5.42269383219665,4.70348828610475,3.68087163713,4.21032490971537,"Tumor"
"TCGA-E2-A1BC-11A-32R-A12P-07",15.6237506825853,12.5285941459507,12.6680326670343,11.8303045848514,5.64797093703435,5.58611724755125,12.1969954198511,3.3071450089029,3.9532765892208,12.1732291613215,11.9891872191997,7.02321168306253,11.7344079694658,8.08631500489658,12.1932687838941,4.70832112974733,3.3071450089029,3.3071450089029,3.3071450089029,4.21358605116901,8.76633242469973,14.7086937988099,5.04331519929451,3.9532765892208,3.3071450089029,4.94207137464693,3.3071450089029,7.99780382420343,5.96913807990119,6.72351419391454,5.452980932847,3.3071450089029,4.56957118353432,"Normal"
"TCGA-E2-A1LH-11A-22R-A14D-07",13.1088398286403,5.55316270724076,12.7074856308048,6.33230609867187,5.39335088566204,5.94213438493414,7.07549009734753,4.1539666419313,4.1539666419313,7.12494370529488,8.34341662746167,7.59681845186224,11.6654714338627,5.85487240667979,10.6977592232506,6.43479052039107,7.58805118879953,4.00181055074593,4.39051419581389,4.48869831486613,7.76954973900546,10.7623390269751,3.3071450089029,3.3071450089029,3.3071450089029,4.28050196184177,4.00181055074593,4.1539666419313,4.28050196184177,7.06285428473752,4.28050196184177,4.00181055074593,4.00181055074593,"Normal"
"TCGA-E2-A1LH-01A-11R-A14D-07",5.9494691509026,3.3071450089029,10.6128818996845,7.20766944949334,9.34565183713006,10.6837738642057,7.70182720937486,3.3071450089029,4.58613117434124,7.26744820494683,5.32874158670517,4.72645145592814,15.6234369614547,4.85069703654067,8.81791858103833,4.22583214362041,3.3071450089029,3.3071450089029,3.3071450089029,3.3071450089029,6.93987752756405,7.77215123800575,3.3071450089029,3.3071450089029,3.3071450089029,3.96214618605774,3.96214618605774,3.3071450089029,3.3071450089029,5.61255530945033,4.85069703654067,3.3071450089029,3.3071450089029,"Tumor"
"TCGA-E9-A1N8-01A-11R-A144-07",5.02200945203881,4.01301169559809,10.7124069684621,7.15359782616153,8.17473809960632,11.5023006490611,4.96133993125737,3.80873140841322,3.3071450089029,5.02200945203881,3.3071450089029,5.28689654434985,13.6891934172491,3.80873140841322,5.07975240356379,3.3071450089029,3.3071450089029,3.3071450089029,3.3071450089029,3.3071450089029,9.48093544067805,5.8263689959271,3.3071450089029,3.3071450089029,3.3071450089029,3.80873140841322,3.3071450089029,3.3071450089029,3.3071450089029,4.59747268626716,4.16749488666285,3.3071450089029,3.3071450089029,"Tumor"
"TCGA-BH-A0HK-11A-11R-A089-07",8.58660937584446,8.23858853565567,14.3085094734797,7.83763931979363,6.88971394719217,6.61586522549853,12.8425807375136,3.3071450089029,5.42372490767819,12.9033701645438,8.16377447193874,11.3652699700426,13.6072322461731,6.43908452031794,12.3690389497333,7.35340845226676,5.52770732572652,3.3071450089029,4.99904775335481,5.52770732572652,9.56721356678858,13.7672334739269,3.3071450089029,3.7675041300255,3.3071450089029,3.3071450089029,4.99904775335481,3.95548725789196,7.68176630548276,7.76519692336162,5.14232356265536,3.7675041300255,5.74257824858097,"Normal"
"TCGA-EW-A2FR-01A-11R-A21T-07",5.13725549662104,3.87996444974809,11.2951993791072,5.80711091227534,12.7536064023159,16.3408481102846,7.46394566896188,3.3071450089029,4.2868915052047,7.41114511320802,3.3071450089029,4.20428781925676,16.6182538573116,5.27059311768854,9.46476157767304,3.87996444974809,3.3071450089029,3.3071450089029,4.11208431655993,3.71351067008487,5.67466576279862,10.5480350688403,3.3071450089029,3.3071450089029,3.3071450089029,3.3071450089029,3.3071450089029,3.3071450089029,3.3071450089029,7.23995367591095,4.36217832230356,3.71351067008487,3.71351067008487,"Tumor"
"TCGA-E2-A154-01A-11R-A115-07",4.63336343658168,3.3071450089029,11.3921834864302,6.20098633193616,11.3587829030919,13.6142049351129,5.94906296649918,3.3071450089029,4.4386633451028,6.74555362643883,4.0335658730702,3.3071450089029,15.2480215925194,4.71843445995195,8.87854255560061,3.3071450089029,3.3071450089029,3.3071450089029,4.79731344789048,4.0335658730702,8.02421690409376,6.34666648347273,3.3071450089029,3.3071450089029,3.3071450089029,3.3071450089029,3.3071450089029,3.3071450089029,3.3071450089029,6.0091544024437,3.82348525729055,4.19230425246551,3.3071450089029,"Tumor"
"TCGA-A2-A0T4-01A-31R-A084-07",8.46221807134297,8.37052206856906,11.1735304430644,6.84144554096119,11.5848856283724,13.5517708780231,9.17673815548177,3.3071450089029,3.82249309136764,9.14129246894603,8.06105829053314,4.43657183433511,15.9606754142767,4.93734046230669,11.2639242390165,3.82249309136764,3.3071450089029,3.3071450089029,3.3071450089029,3.82249309136764,7.68430251586072,10.8888765690219,3.3071450089029,3.82249309136764,3.3071450089029,5.00260464651074,3.3071450089029,3.82249309136764,4.86821776385117,6.03410472571826,4.71589279221969,3.82249309136764,3.3071450089029,"Tumor"
"TCGA-E9-A1NH-01A-11R-A14D-07",5.86167092598665,4.27007796783983,11.9738247782683,6.02667062935556,11.9564887645605,15.2724858875219,6.75643440036443,3.79526695640543,3.99423893419951,7.42093743574282,4.27007796783983,3.79526695640543,16.3218482565727,5.09086225189635,9.71795015558355,3.3071450089029,3.3071450089029,3.3071450089029,3.3071450089029,3.3071450089029,7.88708321140851,8.52074314008758,3.3071450089029,3.3071450089029,3.3071450089029,3.79526695640543,3.3071450089029,3.79526695640543,3.3071450089029,6.59347750912749,4.37900933193897,3.3071450089029,3.3071450089029,"Tumor"
"TCGA-AR-A2LO-01A-31R-A18M-07",7.95337850462961,4.18115678312285,12.1378082742919,6.83053799412849,10.669712049576,12.2742278152286,6.58764628092494,3.3071450089029,3.81685300418083,8.18171472387506,5.04710902525153,5.40792040818154,15.2286157827497,5.26575601006623,8.72383188857834,4.8524415289861,4.18115678312285,3.3071450089029,3.81685300418083,4.52563264801635,7.83194197137111,8.23055693854876,3.3071450089029,3.3071450089029,3.3071450089029,3.81685300418083,3.3071450089029,3.3071450089029,3.3071450089029,5.82708273665122,4.02432835256492,3.81685300418083,3.3071450089029,"Tumor"
"TCGA-Z7-A8R6-01A-11R-A41B-07",4.92693260427779,3.3071450089029,10.685994212845,4.75767041067705,9.8556268946902,12.3392083001456,5.92371309852756,6.18664097235065,3.3071450089029,6.45783525017017,3.3071450089029,4.55742789426442,15.0981289637054,5.16398315372092,7.95896398725726,4.20461444815538,3.3071450089029,3.3071450089029,3.3071450089029,3.3071450089029,5.53481363390158,8.0480315939552,3.3071450089029,3.3071450089029,3.3071450089029,3.3071450089029,3.3071450089029,3.3071450089029,3.3071450089029,4.97824504309084,3.7612731025254,3.3071450089029,3.3071450089029,"Tumor"
